1,0,-1,0,0,0,0,0,0,0,0,0
0,1,-1,0,0,0,0,0,0,0,0,0
-1,-1,4,0,-1,0,0,-1,0,0,0,0
0,0,0,1,-1,0,0,0,0,0,0,0
0,0,-1,-1,3,-1,0,0,0,0,0,0
0,0,0,0,-1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,-1,0,0,0,0
0,0,-1,0,0,0,-1,4,-1,-1,0,0
0,0,0,0,0,0,0,-1,1,0,0,0
0,0,0,0,0,0,0,-1,0,3,-1,-1
0,0,0,0,0,0,0,0,0,-1,1,0
0,0,0,0,0,0,0,0,0,-1,0,1
0.16510038793703577,0.16510038793703627,0.1367736396731593,0.39858759571065233,0.33020077587407254,0.39858759571065255,-0.16510038793703682,-0.13677363967316,-0.16510038793703652,-0.3302007758740729,-0.39858759571065283,-0.39858759571065283
{1,2,3,4,5,6},{7,8,9,10,11,12}
